"num","title","rows","cols","columns","filename"
464,"Performance of a credit scoring instrument","22","5","numeric, percentage(4)","credit"
465,"Weights of mice","13","7","rep(7) numeric","mice"
466,"Poisson random variate generation","60","4","binary, nominal, numeric(2)","poisson"
467,"Survival times of gastric cancer patients","90","3","binary(2), numeric","time"
468,"Time for assays to register HIV positivity","47","6","binary(2), rep(4) counts","hiv"
469,"Mean daily SIDS deaths by temperature","10","4","numeric(3), count","mean"
470,"Number of SIDS deaths per day","242","2","count, numeric","sids"
471,"Predicting benefit from group psychotherapy","64","3","binary, rep(2) categorical","benefit"
472,"African statisticians in 1977","48","3","count(3)","african"
473,"Railway accidents on British Rail, 1970-83","1","84","rep(14) (count(5), numeric)","railway"
474,"Australian higher education students, 1981 to 1988","8","24","rep(8) (numeric, binary, count)","educate"
475,"Contents of books on multivariate analysis","20","7","count(7)","contents"
476,"Age of menarche in Polish girls","25","3","numeric, count, proportion","polish"
477,"Level of Lake Victoria Nyanza and numbers of sunspots","1","40","rep(20) (numeric, count)","lake"
478,"Surgical deaths","40","5","numeric, binary(2), count(2)","surgical"
479,"Mean monthly temperature at various altitudes","14","24","rep(12) numeric(2)","altitude"
480,"Aircraft air-conditioning systems failures","12","30","rep(30) numeric","systems"
481,"Fernale age distribution in Mexico in 1960","75","2","numeric, count","mexico"
482,"Volume of hens' eggs","12","3","numeric(3)","eggs"
483,"Smoking and health","36","4","numeric, nominal, count(2)","health"
484,"Herniorrhaphy","32","9","numeric(2), binary(2), categorical(5)","hernior"
485,"Birthweight by gestational age","23","4","numeric(3), count","age"
486,"Underdispersed word count data","100","1","count","under"
487,"Red core disease in strawberries","144","5","categorical(2), nominal(2), count","redcore"
488,"Failure times for a piece of electronic equipment","107","1","numeric","equip"
489,"Survival time of patients with lymphocytic non-Hodgkin's lymphoma","38","3","binary(2), numeric","lymphoma"
490,"Prestige, income, education, and suicide rates for 36 occupations","36","4","categorical, rate, numeric(2)","prestige"
491,"Natural scientists and engineers in the US","1","16","rep(8) count(2)","engineer"
492,"Correlation between nine Statements about pain","9","9","matrix","pain"
493,"Manufacture of truck leaf springs","16","7","binary(5), numeric(2)","truck"
494,"Housing satisfaction around Montevideo, Minnesota","35","4","binary, count(3)","housing"
495,"Car changing patterns","16","16","matrix","car"
496,"In vitro chromosome aberration assays","9","4","binary, numeric, count(2)","invitro"
497,"Visits to dentist","10218","1","count","visits"
498,"Myocardial infarction and obesity, smoking and vasectomy","36","4","binary(4)","myocard"
499,"Specific heat of water at various temperatures","6","12","rep(6) numeric(2)","heat"
500,"Numbers of packets of cereal purchased over 13 weeks","2000","1","count","cereal"
501,"Accelerated life tests on electrical insulation","40","3","numeric(2), binary","electric"
502,"Cardiac oxygen consumption and mechanical function","11","6","binary, numeric(5)","oxygen"
503,"Coffee consumption and coronary heart disease","1718","2","binary(2)","consume"
504,"Strength of sheet metal","32","6","binary(5), numeric","metal"
505,"Mortality from testicular cancer in England and Wales","13","22","rep(ll) (numeric, rate)","testicle"
506,"Fathers' and sons' occupations","14","14","counts(14)","fathers"
507,"Numbers of purchases of toilet tissue","1816","2","nominal, count","tissue"
508,"Haematology of paint sprayers","103","6","numeric(6)","paint"
509,"Measurement of protein content in ground wheat","24","7","percentage, number(6)","ground"
510,"Winning times in men's running events","17","5","maxima( 4), numeric","winning"
